id,Primary_sampling_unit,Sample strata for sampling error,Country,State,Type_Resident,A_decide_health,A_decide_largepurchase,A_decide_visit,R_edu_level,R_wealth_index,R_read_news,R_listen_radio,R_watch_tv,V_hit_go_out,V_hit_ neglects,V_hit_argues,V_hit_refuses,V_hit_burns,A_decide_contra,V_heard_AIDS,weight,stratum,Prin1,Agency_index,Noweight_Agency_index,NW_Agency_index_scale
10010011703,101,11,India,Jammu & Kashmir,Urban,,,,2,2,0,1,1,,,,,,,,0.379628,Jammu & Kashmir_Urban,,,-0.34885203,65.406177616
10010019502,101,11,India,Jammu & Kashmir,Urban,,,,0,3,0,2,2,,,,,,0,,0.379628,Jammu & Kashmir_Urban,,,1.2500754781,69.762496249
10010029305,102,121,India,Jammu & Kashmir,Rural,,,,3,3,1,1,2,,,,,,,,0.220211,Jammu & Kashmir_Rural,,,3.9431898342,77.099954757
10010051407,105,121,India,Jammu & Kashmir,Rural,,,,2,2,1,2,2,,,,,,,,0.195579,Jammu & Kashmir_Rural,,,4.1410121017,77.638926552
10010056703,105,121,India,Jammu & Kashmir,Rural,,,,2,2,1,1,1,,,,,,,,0.195579,Jammu & Kashmir_Rural,,,1.0164784636,69.126055246
10010065002,106,121,India,Jammu & Kashmir,Rural,,,,3,5,0,1,2,,,,,,0,,0.211589,Jammu & Kashmir_Rural,,,3.7634146437,76.610152682
10010067803,106,121,India,Jammu & Kashmir,Rural,,,,2,2,0,0,2,,,,,,,,0.211589,Jammu & Kashmir_Rural,,,-1.061140402,63.465529844
10010072203,107,121,India,Jammu & Kashmir,Rural,,,,2,1,0,2,2,,,,,,,,0.204212,Jammu & Kashmir_Rural,,,2.045665566,71.930101663
10010076404,107,121,India,Jammu & Kashmir,Rural,,,,0,1,0,1,1,,,,,,0,,0.204212,Jammu & Kashmir_Rural,,,-3.334490244,57.271730422
10010087502,108,122,India,Jammu & Kashmir,Rural,,,,0,3,0,1,1,,,,,,0,,0.308048,Jammu & Kashmir_Rural,,,-1.87445816,61.249624942
10010105303,110,123,India,Jammu & Kashmir,Rural,3,3,3,0,1,0,1,0,1,1,1,1,1,0,0,0.341343,Jammu & Kashmir_Rural,-0.35336099,67.153645926,-4.089122978,55.215714359
10010108902,110,123,India,Jammu & Kashmir,Rural,3,3,3,1,2,0,2,2,1,1,1,1,1,0,0,0.341343,Jammu & Kashmir_Rural,0.2511485702,78.703683461,1.9621220305,71.702485177
10010110103,111,122,India,Jammu & Kashmir,Rural,,,,2,2,0,1,0,1,1,1,1,1,,1,0.327463,Jammu & Kashmir_Rural,,,0.6944229087,68.248606702
10010158306,115,11,India,Jammu & Kashmir,Urban,,,,2,2,0,0,0,0,0,0,1,1,,1,0.457856,Jammu & Kashmir_Urban,,,-9.581356656,40.251984119
10010160703,116,122,India,Jammu & Kashmir,Rural,,,,2,2,2,2,2,,,,,,,,0.336671,Jammu & Kashmir_Rural,,,5.5063425953,81.358804182
10010172502,117,123,India,Jammu & Kashmir,Rural,,,,1,3,0,2,2,,,,,,0,,0.305905,Jammu & Kashmir_Rural,,,2.2406481736,72.461336733
10010174402,117,123,India,Jammu & Kashmir,Rural,,,,0,4,0,1,2,,,,,,0,,0.305905,Jammu & Kashmir_Rural,,,0.0616805151,66.524683969
10010176004,117,123,India,Jammu & Kashmir,Rural,,,,2,4,0,0,2,,,,,,0,,0.305905,Jammu & Kashmir_Rural,,,0.1244149011,66.695605398
10010182702,118,123,India,Jammu & Kashmir,Rural,,,,0,3,0,0,0,,,,,,,,0.352749,Jammu & Kashmir_Rural,,,-4.724515017,53.484572601
10010188304,118,123,India,Jammu & Kashmir,Rural,,,,2,3,0,0,0,,,,,,,,0.352749,Jammu & Kashmir_Rural,,,-2.743369626,58.882253569
10010188704,118,123,India,Jammu & Kashmir,Rural,,,,2,2,0,0,0,,,,,,0,,0.352749,Jammu & Kashmir_Rural,,,-3.747862449,56.145487344
10010204305,120,11,India,Jammu & Kashmir,Urban,,,,0,2,0,2,1,1,1,1,1,1,,0,0.372564,Jammu & Kashmir_Urban,,,-1.302899869,62.806850032
10010205102,120,11,India,Jammu & Kashmir,Urban,,,,2,3,0,2,2,,,,,,,,0.372564,Jammu & Kashmir_Urban,,,3.5056976501,75.907996183
10010229402,122,122,India,Jammu & Kashmir,Rural,,,,2,3,0,1,1,,,,,,0,,0.33377,Jammu & Kashmir_Rural,,,0.1066872311,66.647305911
10010229403,122,122,India,Jammu & Kashmir,Rural,,,,2,3,1,1,1,,,,,,,,0.33377,Jammu & Kashmir_Rural,,,1.7464945057,71.115002506
10010232502,123,123,India,Jammu & Kashmir,Rural,,,,2,2,1,1,1,,,,,,,,0.317131,Jammu & Kashmir_Rural,,,1.0164784636,69.126055246
10010250403,125,123,India,Jammu & Kashmir,Rural,,,,2,5,2,2,1,,,,,,,,0.323075,Jammu & Kashmir_Rural,,,6.4902680885,84.039534195
10010256804,125,123,India,Jammu & Kashmir,Rural,,,,3,4,1,1,2,,,,,,,,0.323075,Jammu & Kashmir_Rural,,,4.6732058763,79.088902017
10010260803,126,11,India,Jammu & Kashmir,Urban,,,,2,4,0,1,1,,,,,,,,0.349898,Jammu & Kashmir_Urban,,,1.1111800541,69.384072136
10010265402,126,11,India,Jammu & Kashmir,Urban,,,,3,5,2,1,1,,,,,,,,0.349898,Jammu & Kashmir_Urban,,,5.562429779,81.51161514
10010268104,126,11,India,Jammu & Kashmir,Urban,,,,3,5,2,2,1,,,,,,0,,0.349898,Jammu & Kashmir_Urban,,,7.2063640031,85.990555714
10010269402,126,11,India,Jammu & Kashmir,Urban,,,,2,2,0,2,0,,,,,,0,,0.349898,Jammu & Kashmir_Urban,,,0.0889595611,66.599006423
10010274603,127,121,India,Jammu & Kashmir,Rural,,,,2,3,1,1,1,1,0,1,0,1,,1,0.198268,Jammu & Kashmir_Rural,,,-2.333099885,60.000043907
10010276402,127,121,India,Jammu & Kashmir,Rural,,,,0,4,0,0,0,,,,,,0,,0.198268,Jammu & Kashmir_Rural,,,-4.268975756,54.725700895
10010277703,127,121,India,Jammu & Kashmir,Rural,,,,3,3,0,0,1,1,1,1,1,1,,1,0.198268,Jammu & Kashmir_Rural,,,1.7027232743,70.995746673
10010279502,127,121,India,Jammu & Kashmir,Rural,,,,2,4,1,1,1,,,,,,,,0.198268,Jammu & Kashmir_Rural,,,2.4765105477,73.103949766
10010283102,128,122,India,Jammu & Kashmir,Rural,,,,0,3,0,2,2,,,,,,0,,0.329649,Jammu & Kashmir_Rural,,,1.2500754781,69.762496249
10010299703,129,121,India,Jammu & Kashmir,Rural,,,,2,5,0,0,0,,,,,,,,0.212586,Jammu & Kashmir_Rural,,,-1.283337542,62.860148089
10010299802,129,121,India,Jammu & Kashmir,Rural,,,,2,4,0,0,0,,,,,,0,,0.212586,Jammu & Kashmir_Rural,,,-2.287830365,60.123381864
10010305704,130,121,India,Jammu & Kashmir,Rural,,,,2,3,0,1,2,,,,,,,,0.201224,Jammu & Kashmir_Rural,,,1.587286645,70.681236643
10010307503,130,121,India,Jammu & Kashmir,Rural,,,,3,3,2,2,2,0,0,0,0,0,,1,0.201224,Jammu & Kashmir_Rural,,,-5.943133808,50.164414735
10010318002,131,121,India,Jammu & Kashmir,Rural,,,,2,5,0,0,1,,,,,,0,,0.221089,Jammu & Kashmir_Rural,,,-0.35169169,65.398440891
10010320902,132,122,India,Jammu & Kashmir,Rural,,,,3,4,1,1,2,,,,,,,,0.368041,Jammu & Kashmir_Rural,,,4.6732058763,79.088902017
10010322602,132,122,India,Jammu & Kashmir,Rural,,,,2,4,1,1,2,,,,,,,,0.368041,Jammu & Kashmir_Rural,,,3.6826331807,76.390061533
10010322802,132,122,India,Jammu & Kashmir,Rural,,,,2,3,1,1,1,,,,,,,,0.368041,Jammu & Kashmir_Rural,,,1.7464945057,71.115002506
10010333902,133,122,India,Jammu & Kashmir,Rural,,,,2,4,0,0,0,,,,,,0,,0.303213,Jammu & Kashmir_Rural,,,-2.287830365,60.123381864
10010335302,133,122,India,Jammu & Kashmir,Rural,,,,2,2,0,0,0,,,,,,0,,0.303213,Jammu & Kashmir_Rural,,,-3.747862449,56.145487344
10010350304,135,123,India,Jammu & Kashmir,Rural,,,,2,2,1,0,1,,,,,,,,0.34794,Jammu & Kashmir_Rural,,,-0.901932541,63.899295706
10010352903,135,123,India,Jammu & Kashmir,Rural,,,,2,4,0,1,1,,,,,,,,0.34794,Jammu & Kashmir_Rural,,,1.1111800541,69.384072136
10010356104,135,123,India,Jammu & Kashmir,Rural,,,,1,2,0,1,1,,,,,,,,0.34794,Jammu & Kashmir_Rural,,,-1.339424726,62.707337132
10010356105,135,123,India,Jammu & Kashmir,Rural,,,,2,2,1,1,1,,,,,,,,0.34794,Jammu & Kashmir_Rural,,,1.0164784636,69.126055246
10010397604,139,123,India,Jammu & Kashmir,Rural,,,,3,4,0,2,2,1,0,1,1,1,,1,0.328871,Jammu & Kashmir_Rural,,,4.7324584038,79.250337034
